n         = 200
algorithm = LU
---------------------------------------------------------------------
        x        |     y_exact     |      y_num
 0.000000000e+00 | 0.000000000e+00 | 4.577151063e-02
 4.975124378e-03 | 4.355902332e-02 | 8.906783500e-02
 9.950248756e-03 | 8.476250508e-02 | 1.300091036e-01
 1.492537313e-02 | 1.237247689e-01 | 1.687096166e-01
 1.990049751e-02 | 1.605545900e-01 | 2.052781265e-01
 2.487562189e-02 | 1.953554641e-01 | 2.398181079e-01
 2.985074627e-02 | 2.282258639e-01 | 2.724280132e-01
 3.482587065e-02 | 2.592594829e-01 | 3.032015165e-01
 3.980099502e-02 | 2.885454674e-01 | 3.322277457e-01
 4.477611940e-02 | 3.161686369e-01 | 3.595915029e-01
 4.975124378e-02 | 3.422096943e-01 | 3.853734742e-01
 5.472636816e-02 | 3.667454257e-01 | 4.096504301e-01
 5.970149254e-02 | 3.898488905e-01 | 4.324954147e-01
 6.467661692e-02 | 4.115896023e-01 | 4.539779273e-01
 6.965174129e-02 | 4.320337006e-01 | 4.741640939e-01
 7.462686567e-02 | 4.512441154e-01 | 4.931168314e-01
 7.960199005e-02 | 4.692807221e-01 | 5.108960028e-01
 8.457711443e-02 | 4.862004902e-01 | 5.275585660e-01
 8.955223881e-02 | 5.020576242e-01 | 5.431587144e-01
 9.452736318e-02 | 5.169036980e-01 | 5.577480110e-01
 9.950248756e-02 | 5.307877823e-01 | 5.713755165e-01
 1.044776119e-01 | 5.437565662e-01 | 5.840879103e-01
 1.094527363e-01 | 5.558544728e-01 | 5.959296065e-01
 1.144278607e-01 | 5.671237692e-01 | 6.069428634e-01
 1.194029851e-01 | 5.776046711e-01 | 6.171678884e-01
 1.243781095e-01 | 5.873354424e-01 | 6.266429375e-01
 1.293532338e-01 | 5.963524899e-01 | 6.354044100e-01
 1.343283582e-01 | 6.046904534e-01 | 6.434869385e-01
 1.393034826e-01 | 6.123822915e-01 | 6.509234749e-01
 1.442786070e-01 | 6.194593631e-01 | 6.577453717e-01
 1.492537313e-01 | 6.259515054e-01 | 6.639824597e-01
 1.542288557e-01 | 6.318871073e-01 | 6.696631220e-01
 1.592039801e-01 | 6.372931797e-01 | 6.748143642e-01
 1.641791045e-01 | 6.421954229e-01 | 6.794618810e-01
 1.691542289e-01 | 6.466182898e-01 | 6.836301203e-01
 1.741293532e-01 | 6.505850461e-01 | 6.873423433e-01
 1.791044776e-01 | 6.541178290e-01 | 6.906206821e-01
 1.840796020e-01 | 6.572377006e-01 | 6.934861950e-01
 1.890547264e-01 | 6.599647014e-01 | 6.959589180e-01
 1.940298507e-01 | 6.623178987e-01 | 6.980579147e-01
 1.990049751e-01 | 6.643154348e-01 | 6.998013235e-01
 2.039800995e-01 | 6.659745714e-01 | 7.012064025e-01
 2.089552239e-01 | 6.673117322e-01 | 7.022895722e-01
 2.139303483e-01 | 6.683425439e-01 | 7.030664560e-01
 2.189054726e-01 | 6.690818751e-01 | 7.035519193e-01
 2.238805970e-01 | 6.695438722e-01 | 7.037601059e-01
 2.288557214e-01 | 6.697419955e-01 | 7.037044730e-01
 2.338308458e-01 | 6.696890517e-01 | 7.033978248e-01
 2.388059701e-01 | 6.693972262e-01 | 7.028523441e-01
 2.437810945e-01 | 6.688781128e-01 | 7.020796224e-01
 2.487562189e-01 | 6.681427426e-01 | 7.010906886e-01
 2.537313433e-01 | 6.672016116e-01 | 6.998960363e-01
 2.587064677e-01 | 6.660647059e-01 | 6.985056498e-01
 2.636815920e-01 | 6.647415274e-01 | 6.969290288e-01
 2.686567164e-01 | 6.632411167e-01 | 6.951752122e-01
 2.736318408e-01 | 6.615720754e-01 | 6.932527997e-01
 2.786069652e-01 | 6.597425879e-01 | 6.911699742e-01
 2.835820896e-01 | 6.577604412e-01 | 6.889345210e-01
 2.885572139e-01 | 6.556330446e-01 | 6.865538478e-01
 2.935323383e-01 | 6.533674475e-01 | 6.840350027e-01
 2.985074627e-01 | 6.509703574e-01 | 6.813846916e-01
 3.034825871e-01 | 6.484481562e-01 | 6.786092952e-01
 3.084577114e-01 | 6.458069160e-01 | 6.757148844e-01
 3.134328358e-01 | 6.430524141e-01 | 6.727072353e-01
 3.184079602e-01 | 6.401901477e-01 | 6.695918438e-01
 3.233830846e-01 | 6.372253470e-01 | 6.663739392e-01
 3.283582090e-01 | 6.341629883e-01 | 6.630584968e-01
 3.333333333e-01 | 6.310078066e-01 | 6.596502505e-01
 3.383084577e-01 | 6.277643069e-01 | 6.561537044e-01
 3.432835821e-01 | 6.244367756e-01 | 6.525731441e-01
 3.482587065e-01 | 6.210292912e-01 | 6.489126470e-01
 3.532338308e-01 | 6.175457340e-01 | 6.451760929e-01
 3.582089552e-01 | 6.139897961e-01 | 6.413671731e-01
 3.631840796e-01 | 6.103649905e-01 | 6.374893997e-01
 3.681592040e-01 | 6.066746596e-01 | 6.335461146e-01
 3.731343284e-01 | 6.029219836e-01 | 6.295404972e-01
 3.781094527e-01 | 5.991099884e-01 | 6.254755728e-01
 3.830845771e-01 | 5.952415529e-01 | 6.213542198e-01
 3.880597015e-01 | 5.913194164e-01 | 6.171791769e-01
 3.930348259e-01 | 5.873461852e-01 | 6.129530498e-01
 3.980099502e-01 | 5.833243392e-01 | 6.086783179e-01
 4.029850746e-01 | 5.792562378e-01 | 6.043573402e-01
 4.079601990e-01 | 5.751441260e-01 | 5.999923612e-01
 4.129353234e-01 | 5.709901398e-01 | 5.955855163e-01
 4.179104478e-01 | 5.667963115e-01 | 5.911388376e-01
 4.228855721e-01 | 5.625645748e-01 | 5.866542583e-01
 4.278606965e-01 | 5.582967695e-01 | 5.821336179e-01
 4.328358209e-01 | 5.539946462e-01 | 5.775786665e-01
 4.378109453e-01 | 5.496598705e-01 | 5.729910695e-01
 4.427860697e-01 | 5.452940271e-01 | 5.683724112e-01
 4.477611940e-01 | 5.408986239e-01 | 5.637241991e-01
 4.527363184e-01 | 5.364750955e-01 | 5.590478677e-01
 4.577114428e-01 | 5.320248070e-01 | 5.543447817e-01
 4.626865672e-01 | 5.275490571e-01 | 5.496162395e-01
 4.676616915e-01 | 5.230490815e-01 | 5.448634767e-01
 4.726368159e-01 | 5.185260561e-01 | 5.400876687e-01
 4.776119403e-01 | 5.139810995e-01 | 5.352899341e-01
 4.825870647e-01 | 5.094152761e-01 | 5.304713371e-01
 4.875621891e-01 | 5.048295987e-01 | 5.256328901e-01
 4.925373134e-01 | 5.002250309e-01 | 5.207755566e-01
 4.975124378e-01 | 4.956024895e-01 | 5.159002532e-01
 5.024875622e-01 | 4.909628468e-01 | 5.110078520e-01
 5.074626866e-01 | 4.863069328e-01 | 5.060991830e-01
 5.124378109e-01 | 4.816355373e-01 | 5.011750355e-01
 5.174129353e-01 | 4.769494116e-01 | 4.962361609e-01
 5.223880597e-01 | 4.722492706e-01 | 4.912832739e-01
 5.273631841e-01 | 4.675357945e-01 | 4.863170546e-01
 5.323383085e-01 | 4.628096306e-01 | 4.813381501e-01
 5.373134328e-01 | 4.580713946e-01 | 4.763471760e-01
 5.422885572e-01 | 4.533216724e-01 | 4.713447181e-01
 5.472636816e-01 | 4.485610216e-01 | 4.663313337e-01
 5.522388060e-01 | 4.437899725e-01 | 4.613075533e-01
 5.572139303e-01 | 4.390090298e-01 | 4.562738812e-01
 5.621890547e-01 | 4.342186736e-01 | 4.512307977e-01
 5.671641791e-01 | 4.294193609e-01 | 4.461787594e-01
 5.721393035e-01 | 4.246115263e-01 | 4.411182011e-01
 5.771144279e-01 | 4.197955834e-01 | 4.360495361e-01
 5.820895522e-01 | 4.149719258e-01 | 4.309731580e-01
 5.870646766e-01 | 4.101409279e-01 | 4.258894411e-01
 5.920398010e-01 | 4.053029459e-01 | 4.207987416e-01
 5.970149254e-01 | 4.004583188e-01 | 4.157013983e-01
 6.019900498e-01 | 3.956073692e-01 | 4.105977338e-01
 6.069651741e-01 | 3.907504038e-01 | 4.054880547e-01
 6.119402985e-01 | 3.858877147e-01 | 4.003726531e-01
 6.169154229e-01 | 3.810195796e-01 | 3.952518067e-01
 6.218905473e-01 | 3.761462628e-01 | 3.901257797e-01
 6.268656716e-01 | 3.712680159e-01 | 3.849948236e-01
 6.318407960e-01 | 3.663850781e-01 | 3.798591775e-01
 6.368159204e-01 | 3.614976771e-01 | 3.747190691e-01
 6.417910448e-01 | 3.566060295e-01 | 3.695747150e-01
 6.467661692e-01 | 3.517103414e-01 | 3.644263213e-01
 6.517412935e-01 | 3.468108090e-01 | 3.592740839e-01
 6.567164179e-01 | 3.419076187e-01 | 3.541181896e-01
 6.616915423e-01 | 3.370009481e-01 | 3.489588156e-01
 6.666666667e-01 | 3.320909662e-01 | 3.437961309e-01
 6.716417910e-01 | 3.271778336e-01 | 3.386302963e-01
 6.766169154e-01 | 3.222617032e-01 | 3.334614645e-01
 6.815920398e-01 | 3.173427206e-01 | 3.282897811e-01
 6.865671642e-01 | 3.124210242e-01 | 3.231153844e-01
 6.915422886e-01 | 3.074967457e-01 | 3.179384061e-01
 6.965174129e-01 | 3.025700104e-01 | 3.127589716e-01
 7.014925373e-01 | 2.976409375e-01 | 3.075771999e-01
 7.064676617e-01 | 2.927096406e-01 | 3.023932047e-01
 7.114427861e-01 | 2.877762275e-01 | 2.972070937e-01
