n         = 200
algorithm = LU
---------------------------------------------------------------------
        x        |     y_exact     |      y_num
 7.164179104e-01 | 2.828408009e-01 | 2.920189697e-01
 7.213930348e-01 | 2.779034587e-01 | 2.868289304e-01
 7.263681592e-01 | 2.729642936e-01 | 2.816370686e-01
 7.313432836e-01 | 2.680233943e-01 | 2.764434730e-01
 7.363184080e-01 | 2.630808449e-01 | 2.712482276e-01
 7.412935323e-01 | 2.581367254e-01 | 2.660514124e-01
 7.462686567e-01 | 2.531911121e-01 | 2.608531038e-01
 7.512437811e-01 | 2.482440775e-01 | 2.556533741e-01
 7.562189055e-01 | 2.432956905e-01 | 2.504522924e-01
 7.611940299e-01 | 2.383460169e-01 | 2.452499242e-01
 7.661691542e-01 | 2.333951189e-01 | 2.400463320e-01
 7.711442786e-01 | 2.284430562e-01 | 2.348415752e-01
 7.761194030e-01 | 2.234898851e-01 | 2.296357103e-01
 7.810945274e-01 | 2.185356595e-01 | 2.244287911e-01
 7.860696517e-01 | 2.135804306e-01 | 2.192208688e-01
 7.910447761e-01 | 2.086242470e-01 | 2.140119921e-01
 7.960199005e-01 | 2.036671551e-01 | 2.088022072e-01
 8.009950249e-01 | 1.987091990e-01 | 2.035915583e-01
 8.059701493e-01 | 1.937504206e-01 | 1.983800873e-01
 8.109452736e-01 | 1.887908598e-01 | 1.931678340e-01
 8.159203980e-01 | 1.838305547e-01 | 1.879548365e-01
 8.208955224e-01 | 1.788695412e-01 | 1.827411309e-01
 8.258706468e-01 | 1.739078539e-01 | 1.775267515e-01
 8.308457711e-01 | 1.689455254e-01 | 1.723117311e-01
 8.358208955e-01 | 1.639825868e-01 | 1.670961007e-01
 8.407960199e-01 | 1.590190677e-01 | 1.618798900e-01
 8.457711443e-01 | 1.540549964e-01 | 1.566631271e-01
 8.507462687e-01 | 1.490903996e-01 | 1.514458389e-01
 8.557213930e-01 | 1.441253028e-01 | 1.462280507e-01
 8.606965174e-01 | 1.391597302e-01 | 1.410097869e-01
 8.656716418e-01 | 1.341937051e-01 | 1.357910706e-01
 8.706467662e-01 | 1.292272493e-01 | 1.305719238e-01
 8.756218905e-01 | 1.242603837e-01 | 1.253523672e-01
 8.805970149e-01 | 1.192931283e-01 | 1.201324209e-01
 8.855721393e-01 | 1.143255019e-01 | 1.149121037e-01
 8.905472637e-01 | 1.093575225e-01 | 1.096914336e-01
 8.955223881e-01 | 1.043892074e-01 | 1.044704278e-01
 9.004975124e-01 | 9.942057274e-02 | 9.924910255e-02
 9.054726368e-01 | 9.445163407e-02 | 9.402747333e-02
 9.104477612e-01 | 8.948240614e-02 | 8.880555492e-02
 9.154228856e-01 | 8.451290300e-02 | 8.358336135e-02
 9.203980100e-01 | 7.954313800e-02 | 7.836090598e-02
 9.253731343e-01 | 7.457312385e-02 | 7.313820151e-02
 9.303482587e-01 | 6.960287265e-02 | 6.791526003e-02
 9.353233831e-01 | 6.463239589e-02 | 6.269209304e-02
 9.402985075e-01 | 5.966170453e-02 | 5.746871149e-02
 9.452736318e-01 | 5.469080898e-02 | 5.224512580e-02
 9.502487562e-01 | 4.971971915e-02 | 4.702134587e-02
 9.552238806e-01 | 4.474844446e-02 | 4.179738113e-02
 9.601990050e-01 | 3.977699391e-02 | 3.657324054e-02
 9.651741294e-01 | 3.480537600e-02 | 3.134893265e-02
 9.701492537e-01 | 2.983359888e-02 | 2.612446556e-02
 9.751243781e-01 | 2.486167027e-02 | 2.089984702e-02
 9.800995025e-01 | 1.988959751e-02 | 1.567508437e-02
 9.850746269e-01 | 1.491738761e-02 | 1.045018460e-02
 9.900497512e-01 | 9.945047220e-03 | 5.225154363e-03
