Numerical Analysis Of A Buckling Beam

Program parameters:
  n       = 10
  N_max   = 100000
  epsilon = 1.000000e-10

Jacobi eigenpair algorithm completed:
  Number of iterations = 153
  Max. Abs. off-diag.  = 3.18877e-11
  time spent           = 0.000834 s

Eigenvalues:
     Exact    |     Jacobi    |    Armadillo
-3.918986e+00 | -3.918986e+00 | -3.918986e+00
-3.682507e+00 | -3.682507e+00 | -3.682507e+00
-3.309721e+00 | -3.309721e+00 | -3.309721e+00
-2.830830e+00 | -2.830830e+00 | -2.830830e+00
-2.284630e+00 | -2.284630e+00 | -2.284630e+00
-1.715370e+00 | -1.715370e+00 | -1.715370e+00
-1.169170e+00 | -1.169170e+00 | -1.169170e+00
-6.902785e-01 | -6.902785e-01 | -6.902785e-01
-3.174929e-01 | -3.174929e-01 | -3.174929e-01
-8.101405e-02 | -8.101405e-02 | -8.101405e-02

Eigenvectors:

eigenvalue = -3.918986e+00:
    Jacobi    |    Armadillo
-1.201312e-01 | -1.201312e-01
+2.305300e-01 | -2.305300e-01
-3.222527e-01 | -3.222527e-01
+3.878684e-01 | -3.878684e-01
-4.220613e-01 | +4.220613e-01
+4.220613e-01 | +4.220613e-01
-3.878684e-01 | +3.878684e-01
+3.222527e-01 | +3.222527e-01
-2.305300e-01 | -2.305300e-01
+1.201312e-01 | -1.201312e-01

eigenvalue = -3.682507e+00:
    Jacobi    |    Armadillo
-2.305300e-01 | +2.305300e-01
+3.878684e-01 | +3.878684e-01
-4.220613e-01 | +4.220613e-01
+3.222527e-01 | +3.222527e-01
-1.201312e-01 | -1.201312e-01
-1.201312e-01 | +1.201312e-01
+3.222527e-01 | +3.222527e-01
-4.220613e-01 | +4.220613e-01
+3.878684e-01 | -3.878684e-01
-2.305300e-01 | -2.305300e-01

eigenvalue = -3.309721e+00:
    Jacobi    |    Armadillo
-3.222527e-01 | -3.222527e-01
+4.220613e-01 | -4.220613e-01
-2.305300e-01 | -2.305300e-01
-1.201312e-01 | +1.201312e-01
+3.878684e-01 | -3.878684e-01
-3.878684e-01 | -3.878684e-01
+1.201312e-01 | -1.201312e-01
+2.305300e-01 | +2.305300e-01
-4.220613e-01 | -4.220613e-01
+3.222527e-01 | -3.222527e-01

eigenvalue = -2.830830e+00:
    Jacobi    |    Armadillo
+3.878684e-01 | +3.878684e-01
-3.222527e-01 | +3.222527e-01
-1.201312e-01 | -1.201312e-01
+4.220613e-01 | -4.220613e-01
-2.305300e-01 | +2.305300e-01
-2.305300e-01 | -2.305300e-01
+4.220613e-01 | -4.220613e-01
-1.201312e-01 | -1.201312e-01
-3.222527e-01 | -3.222527e-01
+3.878684e-01 | -3.878684e-01

eigenvalue = -2.284630e+00:
    Jacobi    |    Armadillo
+4.220613e-01 | -4.220613e-01
-1.201312e-01 | -1.201312e-01
-3.878684e-01 | +3.878684e-01
+2.305300e-01 | +2.305300e-01
+3.222527e-01 | +3.222527e-01
-3.222527e-01 | +3.222527e-01
-2.305300e-01 | -2.305300e-01
+3.878684e-01 | -3.878684e-01
+1.201312e-01 | -1.201312e-01
-4.220613e-01 | -4.220613e-01

eigenvalue = -1.715370e+00:
    Jacobi    |    Armadillo
-4.220613e-01 | +4.220613e-01
-1.201312e-01 | -1.201312e-01
+3.878684e-01 | -3.878684e-01
+2.305300e-01 | +2.305300e-01
-3.222527e-01 | -3.222527e-01
-3.222527e-01 | +3.222527e-01
+2.305300e-01 | +2.305300e-01
+3.878684e-01 | -3.878684e-01
-1.201312e-01 | +1.201312e-01
-4.220613e-01 | -4.220613e-01

eigenvalue = -1.169170e+00:
    Jacobi    |    Armadillo
-3.878684e-01 | -3.878684e-01
-3.222527e-01 | +3.222527e-01
+1.201312e-01 | +1.201312e-01
+4.220613e-01 | -4.220613e-01
+2.305300e-01 | -2.305300e-01
-2.305300e-01 | -2.305300e-01
-4.220613e-01 | +4.220613e-01
-1.201312e-01 | -1.201312e-01
+3.222527e-01 | +3.222527e-01
+3.878684e-01 | -3.878684e-01

eigenvalue = -6.902785e-01:
    Jacobi    |    Armadillo
+3.222527e-01 | +3.222527e-01
+4.220613e-01 | -4.220613e-01
+2.305300e-01 | +2.305300e-01
-1.201312e-01 | +1.201312e-01
-3.878684e-01 | +3.878684e-01
-3.878684e-01 | -3.878684e-01
-1.201312e-01 | +1.201312e-01
+2.305300e-01 | +2.305300e-01
+4.220613e-01 | +4.220613e-01
+3.222527e-01 | -3.222527e-01

eigenvalue = -3.174929e-01:
    Jacobi    |    Armadillo
+2.305300e-01 | -2.305300e-01
+3.878684e-01 | +3.878684e-01
+4.220613e-01 | -4.220613e-01
+3.222527e-01 | +3.222527e-01
+1.201312e-01 | +1.201312e-01
-1.201312e-01 | +1.201312e-01
-3.222527e-01 | -3.222527e-01
-4.220613e-01 | +4.220613e-01
-3.878684e-01 | +3.878684e-01
-2.305300e-01 | -2.305300e-01

eigenvalue = -8.101405e-02:
    Jacobi    |    Armadillo
+1.201312e-01 | +1.201312e-01
+2.305300e-01 | -2.305300e-01
+3.222527e-01 | +3.222527e-01
+3.878684e-01 | -3.878684e-01
+4.220613e-01 | -4.220613e-01
+4.220613e-01 | +4.220613e-01
+3.878684e-01 | -3.878684e-01
+3.222527e-01 | +3.222527e-01
+2.305300e-01 | +2.305300e-01
+1.201312e-01 | -1.201312e-01
