Numerical Analysis Of A Buckling Beam

Program parameters:
  n       = 100
  N_max   = 100000
  epsilon = 1.000000e-02

Jacobi eigenpair algorithm completed:
  Number of iterations = 3310
  Max. Abs. off-diag.  = 0.00999786
  time spent           = 0.595701 s

Eigenvalues:
     Exact    |     Jacobi    |    Armadillo
+1.171518e-01 | +2.611019e-02
-1.428903e-01 | +3.039792e-02
+1.636795e-01 | -3.465625e-02
-1.802672e-01 | -3.888104e-02
+1.949730e-01 | +4.306823e-02
-2.050870e-01 | +4.721374e-02
+2.135831e-01 | -5.131358e-02
-2.198329e-01 | -5.536378e-02
+2.245421e-01 | +5.936042e-02
-2.230124e-01 | +6.329963e-02
+2.185896e-01 | -6.717760e-02
-2.235126e-01 | +7.099058e-02
+2.238496e-01 | +7.473488e-02
-2.193587e-01 | -7.840688e-02
+2.218012e-01 | -8.200303e-02
-2.247653e-01 | -8.551985e-02
+2.302700e-01 | +8.895393e-02
-2.290238e-01 | -9.230195e-02
+2.238948e-01 | -9.556068e-02
-2.083028e-01 | -9.872696e-02
+1.869700e-01 | +1.017977e-01
-1.661304e-01 | +1.047700e-01
+1.419751e-01 | -1.076409e-01
-1.186838e-01 | -1.104077e-01
+9.745347e-02 | +1.130677e-01
-7.999815e-02 | +1.156183e-01
+6.638993e-02 | -1.180570e-01
-5.909152e-02 | -1.203816e-01
+4.400535e-02 | +1.225896e-01
-2.992347e-02 | +1.246791e-01
+1.434921e-02 | -1.266479e-01
-1.109605e-02 | +1.284943e-01
+1.781832e-02 | +1.302163e-01
-1.327458e-02 | -1.318123e-01
+1.433681e-02 | -1.332808e-01
-8.420826e-03 | -1.346204e-01
+1.847971e-03 | +1.358297e-01
+4.724103e-03 | +1.369077e-01
-5.710414e-03 | -1.378532e-01
+4.075553e-03 | +1.386653e-01
-4.530351e-03 | +1.393433e-01
+3.745667e-03 | -1.398864e-01
-3.599775e-03 | -1.402943e-01
+3.881906e-03 | -1.405664e-01
-4.319718e-03 | +1.407025e-01
+8.568830e-04 | -1.407025e-01
+2.294045e-03 | -1.405664e-01
-8.680490e-03 | -1.402943e-01
+9.446653e-03 | +1.398864e-01
-6.279777e-03 | +1.393433e-01
+6.709133e-04 | -1.386653e-01
-2.256864e-03 | -1.378532e-01
-2.491937e-04 | +1.369077e-01
+3.034320e-03 | +1.358297e-01
-5.027642e-03 | -1.346204e-01
+5.965069e-03 | +1.332808e-01
-3.954867e-03 | +1.318123e-01
+6.879520e-03 | -1.302163e-01
-9.682928e-03 | -1.284943e-01
+8.008924e-03 | -1.266479e-01
-3.966011e-03 | +1.246791e-01
+1.551623e-03 | -1.225896e-01
-2.511954e-05 | -1.203816e-01
+1.026195e-03 | -1.180570e-01
+2.678263e-03 | +1.156183e-01
-6.469923e-03 | -1.130677e-01
+4.811617e-03 | -1.104077e-01
-2.515012e-03 | -1.076409e-01
+1.833720e-03 | +1.047700e-01
-8.384773e-04 | +1.017977e-01
-2.243491e-03 | -9.872696e-02
+4.095793e-03 | -9.556068e-02
-3.224199e-03 | +9.230195e-02
-3.713515e-04 | +8.895393e-02
-4.612736e-05 | -8.551985e-02
-7.107243e-04 | -8.200303e-02
+9.763820e-04 | +7.840688e-02
+9.000190e-05 | +7.473488e-02
+7.459269e-04 | -7.099058e-02
-8.069805e-05 | -6.717760e-02
+3.571226e-04 | +6.329963e-02
+1.591355e-03 | +5.936042e-02
-4.093753e-03 | -5.536378e-02
-2.892492e-04 | +5.131358e-02
+4.370117e-03 | +4.721374e-02
-4.606585e-03 | -4.306823e-02
+4.436012e-03 | -3.888104e-02
+4.566387e-04 | -3.465625e-02
-4.023616e-03 | +3.039792e-02
