Numerical Analysis Of A Buckling Beam

Program parameters:
  n       = 300
  N_max   = 200000
  epsilon = 1.000000e-10

Jacobi eigenpair algorithm completed:
  Number of iterations = 143748
  Max. Abs. off-diag.  = 9.99503e-11
  time spent           = 39.8329 s

Eigenvalues:
     Exact    |     Jacobi    |    Armadillo
-3.999891e+00 | -3.999891e+00 | -3.999891e+00
-3.999564e+00 | -3.999564e+00 | -3.999564e+00
-3.999020e+00 | -3.999020e+00 | -3.999020e+00
-3.998257e+00 | -3.998257e+00 | -3.998257e+00
-3.997277e+00 | -3.997277e+00 | -3.997277e+00
-3.996080e+00 | -3.996080e+00 | -3.996080e+00
-3.994665e+00 | -3.994665e+00 | -3.994665e+00
-3.993032e+00 | -3.993032e+00 | -3.993032e+00
-3.991183e+00 | -3.991183e+00 | -3.991183e+00
-3.989116e+00 | -3.989116e+00 | -3.989116e+00
-3.986833e+00 | -3.986833e+00 | -3.986833e+00
-3.984334e+00 | -3.984334e+00 | -3.984334e+00
-3.981618e+00 | -3.981618e+00 | -3.981618e+00
-3.978687e+00 | -3.978687e+00 | -3.978687e+00
-3.975540e+00 | -3.975540e+00 | -3.975540e+00
-3.972177e+00 | -3.972177e+00 | -3.972177e+00
-3.968600e+00 | -3.968600e+00 | -3.968600e+00
-3.964809e+00 | -3.964809e+00 | -3.964809e+00
-3.960803e+00 | -3.960803e+00 | -3.960803e+00
-3.956584e+00 | -3.956584e+00 | -3.956584e+00
-3.952152e+00 | -3.952152e+00 | -3.952152e+00
-3.947507e+00 | -3.947507e+00 | -3.947507e+00
-3.942650e+00 | -3.942650e+00 | -3.942650e+00
-3.937581e+00 | -3.937581e+00 | -3.937581e+00
-3.932301e+00 | -3.932301e+00 | -3.932301e+00
-3.926811e+00 | -3.926811e+00 | -3.926811e+00
-3.921111e+00 | -3.921111e+00 | -3.921111e+00
-3.915201e+00 | -3.915201e+00 | -3.915201e+00
-3.909083e+00 | -3.909083e+00 | -3.909083e+00
-3.902757e+00 | -3.902757e+00 | -3.902757e+00
-3.896224e+00 | -3.896224e+00 | -3.896224e+00
-3.889484e+00 | -3.889484e+00 | -3.889484e+00
-3.882538e+00 | -3.882538e+00 | -3.882538e+00
-3.875387e+00 | -3.875387e+00 | -3.875387e+00
-3.868032e+00 | -3.868032e+00 | -3.868032e+00
-3.860474e+00 | -3.860474e+00 | -3.860474e+00
-3.852712e+00 | -3.852712e+00 | -3.852712e+00
-3.844749e+00 | -3.844749e+00 | -3.844749e+00
-3.836585e+00 | -3.836585e+00 | -3.836585e+00
-3.828221e+00 | -3.828221e+00 | -3.828221e+00
-3.819658e+00 | -3.819658e+00 | -3.819658e+00
-3.810896e+00 | -3.810896e+00 | -3.810896e+00
-3.801938e+00 | -3.801938e+00 | -3.801938e+00
-3.792783e+00 | -3.792783e+00 | -3.792783e+00
-3.783432e+00 | -3.783432e+00 | -3.783432e+00
-3.773888e+00 | -3.773888e+00 | -3.773888e+00
-3.764150e+00 | -3.764150e+00 | -3.764150e+00
-3.754220e+00 | -3.754220e+00 | -3.754220e+00
-3.744099e+00 | -3.744099e+00 | -3.744099e+00
-3.733788e+00 | -3.733788e+00 | -3.733788e+00
-3.723288e+00 | -3.723288e+00 | -3.723288e+00
-3.712600e+00 | -3.712600e+00 | -3.712600e+00
-3.701726e+00 | -3.701726e+00 | -3.701726e+00
-3.690666e+00 | -3.690666e+00 | -3.690666e+00
-3.679422e+00 | -3.679422e+00 | -3.679422e+00
-3.667996e+00 | -3.667996e+00 | -3.667996e+00
-3.656387e+00 | -3.656387e+00 | -3.656387e+00
-3.644598e+00 | -3.644598e+00 | -3.644598e+00
-3.632630e+00 | -3.632630e+00 | -3.632630e+00
-3.620484e+00 | -3.620484e+00 | -3.620484e+00
-3.608162e+00 | -3.608162e+00 | -3.608162e+00
-3.595664e+00 | -3.595664e+00 | -3.595664e+00
-3.582993e+00 | -3.582993e+00 | -3.582993e+00
-3.570149e+00 | -3.570149e+00 | -3.570149e+00
-3.557134e+00 | -3.557134e+00 | -3.557134e+00
-3.543950e+00 | -3.543950e+00 | -3.543950e+00
-3.530597e+00 | -3.530597e+00 | -3.530597e+00
-3.517078e+00 | -3.517078e+00 | -3.517078e+00
-3.503393e+00 | -3.503393e+00 | -3.503393e+00
-3.489544e+00 | -3.489544e+00 | -3.489544e+00
-3.475534e+00 | -3.475534e+00 | -3.475534e+00
-3.461362e+00 | -3.461362e+00 | -3.461362e+00
-3.447031e+00 | -3.447031e+00 | -3.447031e+00
-3.432543e+00 | -3.432543e+00 | -3.432543e+00
-3.417899e+00 | -3.417899e+00 | -3.417899e+00
-3.403100e+00 | -3.403100e+00 | -3.403100e+00
-3.388148e+00 | -3.388148e+00 | -3.388148e+00
-3.373046e+00 | -3.373046e+00 | -3.373046e+00
-3.357793e+00 | -3.357793e+00 | -3.357793e+00
-3.342393e+00 | -3.342393e+00 | -3.342393e+00
-3.326846e+00 | -3.326846e+00 | -3.326846e+00
-3.311155e+00 | -3.311155e+00 | -3.311155e+00
-3.295321e+00 | -3.295321e+00 | -3.295321e+00
-3.279346e+00 | -3.279346e+00 | -3.279346e+00
-3.263232e+00 | -3.263232e+00 | -3.263232e+00
-3.246980e+00 | -3.246980e+00 | -3.246980e+00
-3.230592e+00 | -3.230592e+00 | -3.230592e+00
-3.214070e+00 | -3.214070e+00 | -3.214070e+00
-3.197416e+00 | -3.197416e+00 | -3.197416e+00
-3.180631e+00 | -3.180631e+00 | -3.180631e+00
-3.163718e+00 | -3.163718e+00 | -3.163718e+00
-3.146678e+00 | -3.146678e+00 | -3.146678e+00
-3.129513e+00 | -3.129513e+00 | -3.129513e+00
-3.112225e+00 | -3.112225e+00 | -3.112225e+00
-3.094816e+00 | -3.094816e+00 | -3.094816e+00
-3.077288e+00 | -3.077288e+00 | -3.077288e+00
-3.059642e+00 | -3.059642e+00 | -3.059642e+00
-3.041881e+00 | -3.041881e+00 | -3.041881e+00
-3.024006e+00 | -3.024006e+00 | -3.024006e+00
-3.006020e+00 | -3.006020e+00 | -3.006020e+00
-2.987924e+00 | -2.987924e+00 | -2.987924e+00
-2.969721e+00 | -2.969721e+00 | -2.969721e+00
-2.951412e+00 | -2.951412e+00 | -2.951412e+00
-2.932999e+00 | -2.932999e+00 | -2.932999e+00
-2.914485e+00 | -2.914485e+00 | -2.914485e+00
-2.895871e+00 | -2.895871e+00 | -2.895871e+00
-2.877159e+00 | -2.877159e+00 | -2.877159e+00
-2.858352e+00 | -2.858352e+00 | -2.858352e+00
-2.839452e+00 | -2.839452e+00 | -2.839452e+00
-2.820460e+00 | -2.820460e+00 | -2.820460e+00
-2.801378e+00 | -2.801378e+00 | -2.801378e+00
-2.782209e+00 | -2.782209e+00 | -2.782209e+00
-2.762956e+00 | -2.762956e+00 | -2.762956e+00
-2.743619e+00 | -2.743619e+00 | -2.743619e+00
-2.724201e+00 | -2.724201e+00 | -2.724201e+00
-2.704704e+00 | -2.704704e+00 | -2.704704e+00
-2.685130e+00 | -2.685130e+00 | -2.685130e+00
-2.665482e+00 | -2.665482e+00 | -2.665482e+00
-2.645761e+00 | -2.645761e+00 | -2.645761e+00
-2.625970e+00 | -2.625970e+00 | -2.625970e+00
-2.606110e+00 | -2.606110e+00 | -2.606110e+00
-2.586185e+00 | -2.586185e+00 | -2.586185e+00
-2.566196e+00 | -2.566196e+00 | -2.566196e+00
-2.546145e+00 | -2.546145e+00 | -2.546145e+00
-2.526034e+00 | -2.526034e+00 | -2.526034e+00
-2.505867e+00 | -2.505867e+00 | -2.505867e+00
-2.485644e+00 | -2.485644e+00 | -2.485644e+00
-2.465368e+00 | -2.465368e+00 | -2.465368e+00
-2.445042e+00 | -2.445042e+00 | -2.445042e+00
-2.424667e+00 | -2.424667e+00 | -2.424667e+00
-2.404246e+00 | -2.404246e+00 | -2.404246e+00
-2.383781e+00 | -2.383781e+00 | -2.383781e+00
-2.363274e+00 | -2.363274e+00 | -2.363274e+00
-2.342727e+00 | -2.342727e+00 | -2.342727e+00
-2.322143e+00 | -2.322143e+00 | -2.322143e+00
-2.301524e+00 | -2.301524e+00 | -2.301524e+00
-2.280872e+00 | -2.280872e+00 | -2.280872e+00
-2.260190e+00 | -2.260190e+00 | -2.260190e+00
-2.239479e+00 | -2.239479e+00 | -2.239479e+00
-2.218742e+00 | -2.218742e+00 | -2.218742e+00
-2.197982e+00 | -2.197982e+00 | -2.197982e+00
-2.177199e+00 | -2.177199e+00 | -2.177199e+00
-2.156398e+00 | -2.156398e+00 | -2.156398e+00
-2.135579e+00 | -2.135579e+00 | -2.135579e+00
-2.114746e+00 | -2.114746e+00 | -2.114746e+00
-2.093900e+00 | -2.093900e+00 | -2.093900e+00
-2.073044e+00 | -2.073044e+00 | -2.073044e+00
-2.052180e+00 | -2.052180e+00 | -2.052180e+00
-2.031310e+00 | -2.031310e+00 | -2.031310e+00
-2.010437e+00 | -2.010437e+00 | -2.010437e+00
-1.989563e+00 | -1.989563e+00 | -1.989563e+00
-1.968690e+00 | -1.968690e+00 | -1.968690e+00
-1.947820e+00 | -1.947820e+00 | -1.947820e+00
-1.926956e+00 | -1.926956e+00 | -1.926956e+00
-1.906100e+00 | -1.906100e+00 | -1.906100e+00
-1.885254e+00 | -1.885254e+00 | -1.885254e+00
-1.864421e+00 | -1.864421e+00 | -1.864421e+00
-1.843602e+00 | -1.843602e+00 | -1.843602e+00
-1.822801e+00 | -1.822801e+00 | -1.822801e+00
-1.802018e+00 | -1.802018e+00 | -1.802018e+00
-1.781258e+00 | -1.781258e+00 | -1.781258e+00
-1.760521e+00 | -1.760521e+00 | -1.760521e+00
-1.739810e+00 | -1.739810e+00 | -1.739810e+00
-1.719128e+00 | -1.719128e+00 | -1.719128e+00
-1.698476e+00 | -1.698476e+00 | -1.698476e+00
-1.677857e+00 | -1.677857e+00 | -1.677857e+00
-1.657273e+00 | -1.657273e+00 | -1.657273e+00
-1.636726e+00 | -1.636726e+00 | -1.636726e+00
-1.616219e+00 | -1.616219e+00 | -1.616219e+00
-1.595754e+00 | -1.595754e+00 | -1.595754e+00
-1.575333e+00 | -1.575333e+00 | -1.575333e+00
-1.554958e+00 | -1.554958e+00 | -1.554958e+00
-1.534632e+00 | -1.534632e+00 | -1.534632e+00
-1.514356e+00 | -1.514356e+00 | -1.514356e+00
-1.494133e+00 | -1.494133e+00 | -1.494133e+00
-1.473966e+00 | -1.473966e+00 | -1.473966e+00
-1.453855e+00 | -1.453855e+00 | -1.453855e+00
-1.433804e+00 | -1.433804e+00 | -1.433804e+00
-1.413815e+00 | -1.413815e+00 | -1.413815e+00
-1.393890e+00 | -1.393890e+00 | -1.393890e+00
-1.374030e+00 | -1.374030e+00 | -1.374030e+00
-1.354239e+00 | -1.354239e+00 | -1.354239e+00
-1.334518e+00 | -1.334518e+00 | -1.334518e+00
