Numerical Analysis Of A Buckling Beam

Program parameters:
  n       = 300
  N_max   = 200000
  epsilon = 1.000000e-02

Jacobi eigenpair algorithm completed:
  Number of iterations = 11063
  Max. Abs. off-diag.  = 0.00999536
  time spent           = 3.26585 s

Eigenvalues:
     Exact    |     Jacobi    |    Armadillo
-3.999891e+00 | -3.992141e+00 | -3.999891e+00
-3.999564e+00 | -3.991848e+00 | -3.999564e+00
-3.999020e+00 | -3.991201e+00 | -3.999020e+00
-3.998257e+00 | -3.991102e+00 | -3.998257e+00
-3.997277e+00 | -3.990887e+00 | -3.997277e+00
-3.996080e+00 | -3.990878e+00 | -3.996080e+00
-3.994665e+00 | -3.989354e+00 | -3.994665e+00
-3.993032e+00 | -3.985487e+00 | -3.993032e+00
-3.991183e+00 | -3.985486e+00 | -3.991183e+00
-3.989116e+00 | -3.983455e+00 | -3.989116e+00
-3.986833e+00 | -3.980022e+00 | -3.986833e+00
-3.984334e+00 | -3.976906e+00 | -3.984334e+00
-3.981618e+00 | -3.973663e+00 | -3.981618e+00
-3.978687e+00 | -3.973396e+00 | -3.978687e+00
-3.975540e+00 | -3.970532e+00 | -3.975540e+00
-3.972177e+00 | -3.970196e+00 | -3.972177e+00
-3.968600e+00 | -3.968005e+00 | -3.968600e+00
-3.964809e+00 | -3.958489e+00 | -3.964809e+00
-3.960803e+00 | -3.957367e+00 | -3.960803e+00
-3.956584e+00 | -3.955569e+00 | -3.956584e+00
-3.952152e+00 | -3.955009e+00 | -3.952152e+00
-3.947507e+00 | -3.951548e+00 | -3.947507e+00
-3.942650e+00 | -3.930542e+00 | -3.942650e+00
-3.937581e+00 | -3.930364e+00 | -3.937581e+00
-3.932301e+00 | -3.929070e+00 | -3.932301e+00
-3.926811e+00 | -3.928806e+00 | -3.926811e+00
-3.921111e+00 | -3.926799e+00 | -3.921111e+00
-3.915201e+00 | -3.904028e+00 | -3.915201e+00
-3.909083e+00 | -3.902141e+00 | -3.909083e+00
-3.902757e+00 | -3.901201e+00 | -3.902757e+00
-3.896224e+00 | -3.897527e+00 | -3.896224e+00
-3.889484e+00 | -3.897519e+00 | -3.889484e+00
-3.882538e+00 | -3.877533e+00 | -3.882538e+00
-3.875387e+00 | -3.873834e+00 | -3.875387e+00
-3.868032e+00 | -3.872400e+00 | -3.868032e+00
-3.860474e+00 | -3.862117e+00 | -3.860474e+00
-3.852712e+00 | -3.848095e+00 | -3.852712e+00
-3.844749e+00 | -3.847937e+00 | -3.844749e+00
-3.836585e+00 | -3.834361e+00 | -3.836585e+00
-3.828221e+00 | -3.827867e+00 | -3.828221e+00
-3.819658e+00 | -3.819708e+00 | -3.819658e+00
-3.810896e+00 | -3.805212e+00 | -3.810896e+00
-3.801938e+00 | -3.802989e+00 | -3.801938e+00
-3.792783e+00 | -3.788832e+00 | -3.792783e+00
-3.783432e+00 | -3.788178e+00 | -3.783432e+00
-3.773888e+00 | -3.773703e+00 | -3.773888e+00
-3.764150e+00 | -3.759995e+00 | -3.764150e+00
-3.754220e+00 | -3.759557e+00 | -3.754220e+00
-3.744099e+00 | -3.735311e+00 | -3.744099e+00
-3.733788e+00 | -3.733709e+00 | -3.733788e+00
-3.723288e+00 | -3.722755e+00 | -3.723288e+00
-3.712600e+00 | -3.712920e+00 | -3.712600e+00
-3.701726e+00 | -3.701830e+00 | -3.701726e+00
-3.690666e+00 | -3.688679e+00 | -3.690666e+00
-3.679422e+00 | -3.676122e+00 | -3.679422e+00
-3.667996e+00 | -3.665791e+00 | -3.667996e+00
-3.656387e+00 | -3.655361e+00 | -3.656387e+00
-3.644598e+00 | -3.643812e+00 | -3.644598e+00
-3.632630e+00 | -3.630289e+00 | -3.632630e+00
-3.620484e+00 | -3.615625e+00 | -3.620484e+00
-3.608162e+00 | -3.613114e+00 | -3.608162e+00
-3.595664e+00 | -3.597873e+00 | -3.595664e+00
-3.582993e+00 | -3.585510e+00 | -3.582993e+00
-3.570149e+00 | -3.564452e+00 | -3.570149e+00
-3.557134e+00 | -3.560612e+00 | -3.557134e+00
-3.543950e+00 | -3.539349e+00 | -3.543950e+00
-3.530597e+00 | -3.536961e+00 | -3.530597e+00
-3.517078e+00 | -3.517217e+00 | -3.517078e+00
-3.503393e+00 | -3.492399e+00 | -3.503393e+00
-3.489544e+00 | -3.491807e+00 | -3.489544e+00
-3.475534e+00 | -3.469832e+00 | -3.475534e+00
-3.461362e+00 | -3.460952e+00 | -3.461362e+00
-3.447031e+00 | -3.451264e+00 | -3.447031e+00
-3.432543e+00 | -3.425542e+00 | -3.432543e+00
-3.417899e+00 | -3.421726e+00 | -3.417899e+00
-3.403100e+00 | -3.407982e+00 | -3.403100e+00
-3.388148e+00 | -3.387663e+00 | -3.388148e+00
-3.373046e+00 | -3.367527e+00 | -3.373046e+00
-3.357793e+00 | -3.360160e+00 | -3.357793e+00
-3.342393e+00 | -3.336219e+00 | -3.342393e+00
-3.326846e+00 | -3.329953e+00 | -3.326846e+00
-3.311155e+00 | -3.305007e+00 | -3.311155e+00
-3.295321e+00 | -3.301304e+00 | -3.295321e+00
-3.279346e+00 | -3.276568e+00 | -3.279346e+00
-3.263232e+00 | -3.265476e+00 | -3.263232e+00
-3.246980e+00 | -3.250313e+00 | -3.246980e+00
-3.230592e+00 | -3.223044e+00 | -3.230592e+00
-3.214070e+00 | -3.221000e+00 | -3.214070e+00
-3.197416e+00 | -3.191263e+00 | -3.197416e+00
-3.180631e+00 | -3.183977e+00 | -3.180631e+00
-3.163718e+00 | -3.163562e+00 | -3.163718e+00
-3.146678e+00 | -3.149189e+00 | -3.146678e+00
-3.129513e+00 | -3.121850e+00 | -3.129513e+00
-3.112225e+00 | -3.116050e+00 | -3.112225e+00
-3.094816e+00 | -3.087101e+00 | -3.094816e+00
-3.077288e+00 | -3.082838e+00 | -3.077288e+00
-3.059642e+00 | -3.063034e+00 | -3.059642e+00
-3.041881e+00 | -3.041666e+00 | -3.041881e+00
-3.024006e+00 | -3.015688e+00 | -3.024006e+00
-3.006020e+00 | -3.015391e+00 | -3.006020e+00
-2.987924e+00 | -2.988116e+00 | -2.987924e+00
-2.969721e+00 | -2.970172e+00 | -2.969721e+00
-2.951412e+00 | -2.943956e+00 | -2.951412e+00
-2.932999e+00 | -2.933623e+00 | -2.932999e+00
-2.914485e+00 | -2.916193e+00 | -2.914485e+00
-2.895871e+00 | -2.894906e+00 | -2.895871e+00
-2.877159e+00 | -2.878870e+00 | -2.877159e+00
-2.858352e+00 | -2.852662e+00 | -2.858352e+00
-2.839452e+00 | -2.846908e+00 | -2.839452e+00
-2.820460e+00 | -2.818722e+00 | -2.820460e+00
-2.801378e+00 | -2.796861e+00 | -2.801378e+00
-2.782209e+00 | -2.785441e+00 | -2.782209e+00
-2.762956e+00 | -2.762220e+00 | -2.762956e+00
-2.743619e+00 | -2.742480e+00 | -2.743619e+00
-2.724201e+00 | -2.724530e+00 | -2.724201e+00
-2.704704e+00 | -2.702711e+00 | -2.704704e+00
-2.685130e+00 | -2.678847e+00 | -2.685130e+00
-2.665482e+00 | -2.672217e+00 | -2.665482e+00
-2.645761e+00 | -2.647907e+00 | -2.645761e+00
-2.625970e+00 | -2.625721e+00 | -2.625970e+00
-2.606110e+00 | -2.599495e+00 | -2.606110e+00
-2.586185e+00 | -2.593790e+00 | -2.586185e+00
-2.566196e+00 | -2.565469e+00 | -2.566196e+00
-2.546145e+00 | -2.546454e+00 | -2.546145e+00
-2.526034e+00 | -2.525771e+00 | -2.526034e+00
-2.505867e+00 | -2.495200e+00 | -2.505867e+00
-2.485644e+00 | -2.494978e+00 | -2.485644e+00
-2.465368e+00 | -2.465029e+00 | -2.465368e+00
-2.445042e+00 | -2.445681e+00 | -2.445042e+00
-2.424667e+00 | -2.415616e+00 | -2.424667e+00
-2.404246e+00 | -2.414637e+00 | -2.404246e+00
