Numerical Analysis Of A Buckling Beam

Program parameters:
  n       = 10
  N_max   = 100000
  epsilon = 1.000000e-06

Jacobi eigenpair algorithm completed:
  Number of iterations = 129
  Max. Abs. off-diag.  = 9.21567e-07
  time spent           = 0.000494 s

Eigenvalues:
     Exact    |     Jacobi    |    Armadillo
-3.918986e+00 | -3.918986e+00 | -3.918986e+00
-3.682507e+00 | -3.682507e+00 | -3.682507e+00
-3.309721e+00 | -3.309721e+00 | -3.309721e+00
-2.830830e+00 | -2.830830e+00 | -2.830830e+00
-2.284630e+00 | -2.284630e+00 | -2.284630e+00
-1.715370e+00 | -1.715370e+00 | -1.715370e+00
-1.169170e+00 | -1.169170e+00 | -1.169170e+00
-6.902785e-01 | -6.902785e-01 | -6.902785e-01
-3.174929e-01 | -3.174929e-01 | -3.174929e-01
-8.101405e-02 | -8.101405e-02 | -8.101405e-02

Eigenvectors:

eigenvalue = -3.918986e+00:
    Jacobi    |    Armadillo
-1.201311e-01 | -1.201312e-01
+2.305301e-01 | -2.305300e-01
-3.222527e-01 | -3.222527e-01
+3.878684e-01 | -3.878684e-01
-4.220613e-01 | +4.220613e-01
+4.220613e-01 | +4.220613e-01
-3.878684e-01 | +3.878684e-01
+3.222527e-01 | +3.222527e-01
-2.305301e-01 | -2.305300e-01
+1.201311e-01 | -1.201312e-01

eigenvalue = -3.682507e+00:
    Jacobi    |    Armadillo
-2.305300e-01 | +2.305300e-01
+3.878684e-01 | +3.878684e-01
-4.220612e-01 | +4.220613e-01
+3.222527e-01 | +3.222527e-01
-1.201312e-01 | -1.201312e-01
-1.201312e-01 | +1.201312e-01
+3.222527e-01 | +3.222527e-01
-4.220613e-01 | +4.220613e-01
+3.878683e-01 | -3.878684e-01
-2.305301e-01 | -2.305300e-01

eigenvalue = -3.309721e+00:
    Jacobi    |    Armadillo
-3.222527e-01 | -3.222527e-01
+4.220613e-01 | -4.220613e-01
-2.305300e-01 | -2.305300e-01
-1.201312e-01 | +1.201312e-01
+3.878684e-01 | -3.878684e-01
-3.878684e-01 | -3.878684e-01
+1.201312e-01 | -1.201312e-01
+2.305300e-01 | +2.305300e-01
-4.220613e-01 | -4.220613e-01
+3.222527e-01 | -3.222527e-01

eigenvalue = -2.830830e+00:
    Jacobi    |    Armadillo
+3.878684e-01 | +3.878684e-01
-3.222527e-01 | +3.222527e-01
-1.201312e-01 | -1.201312e-01
+4.220612e-01 | -4.220613e-01
-2.305300e-01 | +2.305300e-01
-2.305300e-01 | -2.305300e-01
+4.220613e-01 | -4.220613e-01
-1.201312e-01 | -1.201312e-01
-3.222527e-01 | -3.222527e-01
+3.878684e-01 | -3.878684e-01

eigenvalue = -2.284630e+00:
    Jacobi    |    Armadillo
+4.220612e-01 | -4.220613e-01
-1.201312e-01 | -1.201312e-01
-3.878683e-01 | +3.878684e-01
+2.305301e-01 | +2.305300e-01
+3.222526e-01 | +3.222527e-01
-3.222528e-01 | +3.222527e-01
-2.305300e-01 | -2.305300e-01
+3.878684e-01 | -3.878684e-01
+1.201311e-01 | -1.201312e-01
-4.220614e-01 | -4.220613e-01

eigenvalue = -1.715370e+00:
    Jacobi    |    Armadillo
-4.220615e-01 | +4.220613e-01
-1.201313e-01 | -1.201312e-01
+3.878683e-01 | -3.878684e-01
+2.305301e-01 | +2.305300e-01
-3.222526e-01 | -3.222527e-01
-3.222525e-01 | +3.222527e-01
+2.305301e-01 | +2.305300e-01
+3.878682e-01 | -3.878684e-01
-1.201314e-01 | +1.201312e-01
-4.220613e-01 | -4.220613e-01

eigenvalue = -1.169170e+00:
    Jacobi    |    Armadillo
-3.878684e-01 | -3.878684e-01
-3.222527e-01 | +3.222527e-01
+1.201311e-01 | +1.201312e-01
+4.220613e-01 | -4.220613e-01
+2.305300e-01 | -2.305300e-01
-2.305301e-01 | -2.305300e-01
-4.220612e-01 | +4.220613e-01
-1.201312e-01 | -1.201312e-01
+3.222527e-01 | +3.222527e-01
+3.878684e-01 | -3.878684e-01

eigenvalue = -6.902785e-01:
    Jacobi    |    Armadillo
+3.222520e-01 | +3.222527e-01
+4.220602e-01 | -4.220613e-01
+2.305291e-01 | +2.305300e-01
-1.201319e-01 | +1.201312e-01
-3.878688e-01 | +3.878684e-01
-3.878682e-01 | -3.878684e-01
-1.201303e-01 | +1.201312e-01
+2.305312e-01 | +2.305300e-01
+4.220622e-01 | +4.220613e-01
+3.222531e-01 | -3.222527e-01

eigenvalue = -3.174929e-01:
    Jacobi    |    Armadillo
+2.305308e-01 | -2.305300e-01
+3.878693e-01 | +3.878684e-01
+4.220619e-01 | -4.220613e-01
+3.222523e-01 | +3.222527e-01
+1.201303e-01 | +1.201312e-01
-1.201322e-01 | +1.201312e-01
-3.222530e-01 | -3.222527e-01
-4.220607e-01 | +4.220613e-01
-3.878674e-01 | +3.878684e-01
-2.305292e-01 | -2.305300e-01

eigenvalue = -8.101405e-02:
    Jacobi    |    Armadillo
+1.201312e-01 | +1.201312e-01
+2.305300e-01 | -2.305300e-01
+3.222527e-01 | +3.222527e-01
+3.878684e-01 | -3.878684e-01
+4.220613e-01 | -4.220613e-01
+4.220613e-01 | +4.220613e-01
+3.878684e-01 | -3.878684e-01
+3.222527e-01 | +3.222527e-01
+2.305300e-01 | +2.305300e-01
+1.201312e-01 | -1.201312e-01
